旅館名稱Region,FIT類別FIT,"GROUP
類別
GROUP","類別合計
Total","本國
Domestic","?陸
China","?本
Japan",韓國Korea,"港澳
HK &
Macao","新加坡
Singapore","?來?亞
Malaysia","其他亞洲地區
Asia(Other
Asia Region)",北美North American,"歐洲
Europe","紐澳
NZ &
AU","其它
Other","華僑
Chinese
Overseas",合計Total,,
"雲品溫泉酒店?
?潭","8,535","2,935","11,470","9,472",632,152,0,508,35,50,153,356,89,17,6,0,"11,470",,
???館,"1,866",49,"1,915","1,626",217,2,2,18,0,0,2,34,0,12,2,0,"1,915",,
凱撒?飯店,"16,774","3,918","20,692","14,373","5,410",118,246,136,0,6,6,151,100,7,139,0,"20,692",,
墾丁福華渡假飯店,"17,004","8,000","25,004","18,850","5,389",185,193,71,5,16,6,132,145,12,0,0,"25,004",,
東?渡假酒店,"1,350","1,758","3,108","3,105",1,2,0,0,0,0,0,0,0,0,0,0,"3,108",,
知本老爺?酒店,"9,026","1,132","10,158","9,130",353,65,8,200,7,10,38,95,250,2,0,0,"10,158",,
太魯閣晶英酒店,"6,435","1,758","8,193","6,985",232,17,0,0,0,0,344,235,378,2,0,0,"8,193",,
福容?飯店 福隆,"2,789",857,"3,646","3,594",21,0,14,2,2,0,0,13,0,0,0,0,"3,646",,
龍??飯店,"1,620","1,415","3,035","3,014",0,21,0,0,0,0,0,0,0,0,0,0,"3,035",,
阿??賓館,654,281,935,655,129,23,1,28,13,3,10,19,5,1,48,0,935,,
阿??賓館(新館),"3,184","1,364","4,548","3,195",630,112,5,136,65,13,46,91,23,3,229,0,"4,548",,
墾丁怡灣渡假酒店,"2,504",639,"3,143","1,515",40,0,0,0,0,2,8,0,2,0,"1,576",0,"3,143",,
總計Total,"613,777","250,071","863,848","361,782","165,483","116,610","58,481","32,690","10,795","6,480","31,549","42,607","18,982","4,209","12,518","1,662","863,848",,
,,,,,,,,,,,,,,,,,,,
觀光旅館營運?報表單?-彙整表 (Monthly Report on Tourist Hotel Operations in Taiwan),,,,,,,,,,,,,,,,,,,
列印?期,2019/06/18,其他地區,,資料期間:,,2019年2??2019年2?(Data for 2019/2~2019/2),,,,,,,,,,,,,
,住客類別統計No. of Guests by Type,,,各地區旅客?數統計No. of Guests by Country / Region,,,,,,,,,,,,,,,
旅館名稱Region,FIT類別FIT,"GROUP
類別
GROUP","類別合計
Total","本國
Domestic","?陸
China","?本
Japan",韓國Korea,"港澳
HK &
Macao","新加坡
Singapore","?來?亞
Malaysia","其他亞洲地區
Asia(Other
Asia Region)",北美North American,"歐洲
Europe","紐澳
NZ &
AU","其它
Other","華僑
Chinese
Overseas",合計Total,,
麒麟?飯店,"3,412","1,076","4,488","4,034",121,3,87,203,0,0,34,0,6,0,0,0,"4,488",,
福容?飯店 淡?漁?碼頭,"4,639",573,"5,212","4,617",197,9,23,77,7,9,5,23,12,0,233,0,"5,212",,
?板根渡假酒店,"4,284","2,670","6,954","6,928",2,0,0,19,0,5,0,0,0,0,0,0,"6,954",,
板橋凱撒?飯店,"13,199","1,256","14,455","4,540","1,656",401,"2,968","2,116",132,86,"1,718",355,395,71,17,0,"14,455",,
台南?飯店,"4,113",256,"4,369","2,607",397,997,0,0,0,0,211,48,33,33,43,0,"4,369",,
?億麗緻酒店,"8,110","3,955","12,065","9,026",290,846,63,113,86,15,76,246,"1,218",27,59,0,"12,065",,
台糖?榮酒店(台南),"8,589",794,"9,383","8,039",291,442,0,0,0,0,254,213,114,19,11,0,"9,383",,
香格?拉台南遠東國際?飯店,"12,256",556,"12,812","8,090","1,187",688,412,458,354,51,214,874,348,61,75,0,"12,812",,
"台南?員皇冠假
?酒店","7,460",387,"7,847","6,452",385,25,24,102,48,0,49,260,0,0,502,0,"7,847",,
