旅館名稱Region,,FIT類別FIT,"GROUP
類別
GROUP","類別合計
Total","本國
Domestic","?陸
China","?本
Japan",韓國Korea,"港澳HK &
Macao","新加坡
Singapore","?來?亞
Malaysia","其他亞洲地區
Asia(Other Asia
Region)",北美North American,"歐洲
Europe","紐澳
NZ &
AU","其它
Other","華僑
Chinese
Overseas",,合計Total
"?億麗緻酒店
Tayih Landis Tainan",,"8,577","4,122","12,699","8,909",688,"1,785",141,141,86,25,231,398,219,48,28,0,,"12,699"
"板橋凱撒?飯店
Caesar Park Hotel
Banqiao",,"11,741",928,"12,669","4,438","1,391",874,0,0,0,0,"4,754",489,370,267,86,0,,"12,669"
"樂樂?暉溫泉酒店
J Resort",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
"台南?員皇冠假?酒店
CROWNE PLAZA TAINAN",,"4,609","2,662","7,271","6,274",209,40,9,97,62,0,70,228,0,0,282,0,,"7,271"
"香格?拉台南遠東國際?飯店
Shangri-La’s Far Eastern Plaza Hotel,Tainan",,"10,242","1,698","11,940","6,729",916,"1,271",213,384,347,110,221,950,533,204,62,0,,"11,940"
,,,,,,,,,,,,,,,,,,,
"?榮鳳凰酒店(礁溪) Evergreen Resort
Hotel(Jiaosi)",,"8,925","5,359","14,284","13,689",261,45,12,137,33,25,22,53,2,0,5,0,,"14,284"
"麒麟?飯店
Kilin Hotel",,"2,794",937,"3,731","3,380",149,12,56,104,0,0,20,10,0,0,0,0,,"3,731"
"福容?飯店 淡?漁?碼頭
Fullon Hotel Tamsui Fishermen’s Wharf",,"3,111","1,570","4,681","3,807",46,14,36,12,19,2,2,8,10,4,721,0,,"4,681"
"澎湖福朋喜來登酒店
Four Point by
Sheraton Penghu",,"2,669",534,"3,203","2,981",17,5,0,2,0,3,0,164,0,0,31,0,,"3,203"
"耐斯王??飯店
Nice Prince Hotel",,"6,808","3,625","10,433","7,661","1,676",128,22,31,32,94,184,318,50,38,199,0,,"10,433"
